   lon        lat        precip
  -64.6500   -37.7500     0.0000
  -64.5500   -37.7500     0.0000
  -64.4500   -37.7500     0.0000
  -64.3500   -37.7500     0.0000
  -64.2500   -37.7500     0.0000
  -64.1500   -37.7500     0.0000
  -64.0500   -37.7500     0.1123
  -63.9500   -37.7500     0.0000
  -63.8500   -37.7500     0.0000
  -63.7500   -37.7500     0.1379
  -63.6500   -37.7500     0.0000
  -63.5500   -37.7500     0.0000
  -63.4500   -37.7500     0.1058
  -63.3500   -37.7500     0.0000
  -63.2500   -37.7500     0.0370
  -63.1500   -37.7500     0.0803
  -63.0500   -37.7500     0.1306
  -62.9500   -37.7500     0.1291
  -62.8500   -37.7500     0.0452
  -62.7500   -37.7500     0.0000
  -62.6500   -37.7500     0.0000
  -62.5500   -37.7500     0.0405
  -62.4500   -37.7500     0.0000
  -62.3500   -37.7500     0.0000
  -62.2500   -37.7500     0.2668
  -62.1500   -37.7500     0.0183
  -62.0500   -37.7500     0.0000
  -61.9500   -37.7500     0.0000
  -61.8500   -37.7500     0.0185
  -61.7500   -37.7500     0.0373
  -61.6500   -37.7500     0.0774
  -61.5500   -37.7500     0.1290
  -61.4500   -37.7500     0.0626
  -61.3500   -37.7500     0.1064
  -61.2500   -37.7500     0.5250
  -61.1500   -37.7500     0.7078
  -61.0500   -37.7500     1.1277
  -60.9500   -37.7500     1.3545
  -60.8500   -37.7500     1.5284
  -60.7500   -37.7500     1.2941
  -60.6500   -37.7500     1.4484
  -60.5500   -37.7500     1.3899
  -60.4500   -37.7500     1.3317
  -60.3500   -37.7500     1.3295
  -60.2500   -37.7500     1.4028
  -60.1500   -37.7500     1.5507
  -60.0500   -37.7500     1.5961
  -59.9500   -37.7500     1.7934
  -59.8500   -37.7500     1.3399
  -59.7500   -37.7500     1.4547
  -59.6500   -37.7500     1.0231
  -59.5500   -37.7500     0.7170
  -59.4500   -37.7500     0.5482
  -59.3500   -37.7500     0.4332
  -59.2500   -37.7500     0.4439
  -59.1500   -37.7500     0.2975
  -59.0500   -37.7500     0.4000
  -58.9500   -37.7500     0.3382
  -58.8500   -37.7500     0.3460
  -58.7500   -37.7500     0.3858
  -58.6500   -37.7500     0.3377
  -58.5500   -37.7500     0.3734
  -58.4500   -37.7500     0.3328
  -58.3500   -37.7500     0.3271
  -58.2500   -37.7500     0.3013
  -58.1500   -37.7500     0.2931
  -58.0500   -37.7500     0.2796
  -57.9500   -37.7500     0.2588
  -57.8500   -37.7500     0.2172
  -57.7500   -37.7500     0.2211
  -57.6500   -37.7500     0.2335
  -57.5500   -37.7500     0.3147
  -57.4500   -37.7500     0.2785
  -57.3500   -37.7500     0.3101
  -57.2500   -37.7500     0.2640
  -57.1500   -37.7500     0.2250
  -57.0500   -37.7500     0.2250
  -56.9500   -37.7500     0.2250
  -56.8500   -37.7500     0.1500
  -56.7500   -37.7500     0.1000
  -56.6500   -37.7500     0.0750
  -56.5500   -37.7500     0.0250
  -56.4500   -37.7500     0.0000
  -56.3500   -37.7500     0.0000
  -56.2500   -37.7500     0.0000
  -56.1500   -37.7500     0.0000
  -56.0500   -37.7500     0.0000
  -55.9500   -37.7500     0.0250
  -68.0500   -37.6500     0.0000
  -67.9500   -37.6500     0.0000
  -67.8500   -37.6500     0.0000
  -67.7500   -37.6500     0.0000
  -67.6500   -37.6500     0.0000
  -67.5500   -37.6500     0.0000
  -67.4500   -37.6500     0.0000
  -67.3500   -37.6500     0.0000
  -67.2500   -37.6500     0.0000
  -67.1500   -37.6500     0.0000
  -67.0500   -37.6500     0.0000
  -66.9500   -37.6500     0.0000
  -66.8500   -37.6500     0.0000
  -66.7500   -37.6500     0.0000
  -66.6500   -37.6500     0.0000
  -66.5500   -37.6500     0.0000
  -66.4500   -37.6500     0.0000
  -66.3500   -37.6500     0.0000
  -66.2500   -37.6500     0.0000
  -66.1500   -37.6500     0.0000
  -66.0500   -37.6500     0.0000
  -65.9500   -37.6500     0.0000
  -65.8500   -37.6500     0.0000
  -65.7500   -37.6500     0.0000
  -65.6500   -37.6500     0.0000
  -65.5500   -37.6500     0.0000
  -65.4500   -37.6500     0.0000
  -65.3500   -37.6500     0.0000
  -65.2500   -37.6500     0.0000
  -65.1500   -37.6500     0.0000
  -65.0500   -37.6500     0.0000
  -64.9500   -37.6500     0.0000
  -64.8500   -37.6500     0.0000
  -64.7500   -37.6500     0.0000
  -64.6500   -37.6500     0.0000
  -64.5500   -37.6500     0.0000
  -64.4500   -37.6500     0.0000
  -64.3500   -37.6500     0.0000
  -64.2500   -37.6500     0.0000
  -64.1500   -37.6500     0.0000
  -64.0500   -37.6500     0.0000
  -63.9500   -37.6500     0.0000
  -63.8500   -37.6500     0.0000
  -63.7500   -37.6500     0.0000
  -63.6500   -37.6500     0.0000
  -63.5500   -37.6500     0.0000
  -63.4500   -37.6500     0.0544
  -63.3500   -37.6500     0.0378
  -63.2500   -37.6500     0.0975
  -63.1500   -37.6500     0.0829
  -63.0500   -37.6500     0.1537
  -62.9500   -37.6500     0.1579
  -62.8500   -37.6500     0.1089
  -62.7500   -37.6500     0.0448
  -62.6500   -37.6500     0.0210
  -62.5500   -37.6500     0.0000
  -62.4500   -37.6500     0.0201
  -62.3500   -37.6500     0.0202
  -62.2500   -37.6500     0.0191
  -62.1500   -37.6500     0.0374
  -62.0500   -37.6500     0.0748
  -61.9500   -37.6500     0.1314
  -61.8500   -37.6500     0.2283
  -61.7500   -37.6500     0.1215
  -61.6500   -37.6500     0.3019
  -61.5500   -37.6500     0.2342
  -61.4500   -37.6500     0.2821
  -61.3500   -37.6500     0.2672
  -61.2500   -37.6500     0.5083
  -61.1500   -37.6500     0.5436
  -61.0500   -37.6500     1.1146
  -60.9500   -37.6500     1.3554
  -60.8500   -37.6500     1.7843
  -60.7500   -37.6500     1.8105
  -60.6500   -37.6500     2.1469
  -60.5500   -37.6500     2.4269
  -60.4500   -37.6500     2.7794
  -60.3500   -37.6500     3.4334
  -60.2500   -37.6500     3.1312
  -60.1500   -37.6500     2.0242
  -60.0500   -37.6500     2.1483
  -59.9500   -37.6500     1.4118
  -59.8500   -37.6500     1.2993
  -59.7500   -37.6500     1.1402
  -59.6500   -37.6500     0.7524
  -59.5500   -37.6500     0.6475
  -59.4500   -37.6500     0.6346
  -59.3500   -37.6500     0.5010
  -59.2500   -37.6500     0.4337
  -59.1500   -37.6500     0.3807
  -59.0500   -37.6500     0.3822
  -58.9500   -37.6500     0.3136
  -58.8500   -37.6500     0.3261
  -58.7500   -37.6500     0.4099
  -58.6500   -37.6500     0.3398
  -58.5500   -37.6500     0.3367
  -58.4500   -37.6500     0.3181
  -58.3500   -37.6500     0.2639
  -58.2500   -37.6500     0.2688
  -58.1500   -37.6500     0.2619
  -58.0500   -37.6500     0.2879
  -57.9500   -37.6500     0.3273
  -57.8500   -37.6500     0.2524
  -57.7500   -37.6500     0.3042
  -57.6500   -37.6500     0.3518
  -57.5500   -37.6500     0.3616
  -57.4500   -37.6500     0.3732
  -57.3500   -37.6500     0.3962
  -57.2500   -37.6500     0.3534
  -57.1500   -37.6500     0.1490
  -57.0500   -37.6500     0.2000
  -56.9500   -37.6500     0.1500
  -56.8500   -37.6500     0.1250
  -56.7500   -37.6500     0.0750
  -56.6500   -37.6500     0.0750
  -56.5500   -37.6500     0.0250
  -56.4500   -37.6500     0.0000
  -56.3500   -37.6500     0.0000
  -56.2500   -37.6500     0.0000
  -56.1500   -37.6500     0.0250
  -56.0500   -37.6500     0.0250
  -55.9500   -37.6500     0.0250
  -68.0500   -37.5500     0.0000
  -67.9500   -37.5500     0.0000
  -67.8500   -37.5500     0.0000
  -67.7500   -37.5500     0.0000
  -67.6500   -37.5500     0.0000
  -67.5500   -37.5500     0.0000
  -67.4500   -37.5500     0.0000
  -67.3500   -37.5500     0.0000
  -67.2500   -37.5500     0.0000
  -67.1500   -37.5500     0.0000
  -67.0500   -37.5500     0.0000
  -66.9500   -37.5500     0.0000
  -66.8500   -37.5500     0.0000
  -66.7500   -37.5500     0.0000
  -66.6500   -37.5500     0.0000
  -66.5500   -37.5500     0.0000
  -66.4500   -37.5500     0.0000
  -66.3500   -37.5500     0.0000
  -66.2500   -37.5500     0.0000
  -66.1500   -37.5500     0.0000
  -66.0500   -37.5500     0.0000
  -65.9500   -37.5500     0.0000
  -65.8500   -37.5500     0.0000
  -65.7500   -37.5500     0.0000
  -65.6500   -37.5500     0.0000
  -65.5500   -37.5500     0.0000
  -65.4500   -37.5500     0.0000
  -65.3500   -37.5500     0.0000
  -65.2500   -37.5500     0.0000
  -65.1500   -37.5500     0.0000
  -65.0500   -37.5500     0.0000
  -64.9500   -37.5500     0.0000
  -64.8500   -37.5500     0.0000
  -64.7500   -37.5500     0.0000
  -64.6500   -37.5500     0.0000
  -64.5500   -37.5500     0.0000
  -64.4500   -37.5500     0.0000
  -64.3500   -37.5500     0.0000
  -64.2500   -37.5500     0.0000
  -64.1500   -37.5500     0.0000
  -64.0500   -37.5500     0.0000
  -63.9500   -37.5500     0.0000
  -63.8500   -37.5500     0.0000
  -63.7500   -37.5500     0.0000
  -63.6500   -37.5500     0.0000
  -63.5500   -37.5500     0.0913
  -63.4500   -37.5500     0.0749
  -63.3500   -37.5500     0.0398
  -63.2500   -37.5500     0.0406
  -63.1500   -37.5500     0.1271
  -63.0500   -37.5500     0.1115
  -62.9500   -37.5500     0.0903
  -62.8500   -37.5500     0.1510
  -62.7500   -37.5500     0.0428
